lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,25,5,0,12,22,30,0.110892451,0.345430596,0.338566076,0.064274664
18,25,5,0,12,24,26,0.141863877,0.348989301,0.236495856,0.064396419
18,25,5,0,12,24,28,0.112610059,0.329419724,0.393963984,0.063826736
18,25,5,0,12,24,30,0.140286904,0.355090677,0.246737423,0.064662244
18,25,5,0,14,20,26,0.119355091,0.362220122,0.239449261,0.064464729
18,25,5,0,14,20,28,0.114459278,0.32909062,0.380425366,0.064122108
18,25,5,0,14,20,30,0.160723239,0.331032616,0.291147227,0.06465088
18,25,5,0,14,22,26,0.113317846,0.354635589,0.327266267,0.06160199
18,25,5,0,14,22,28,0.120913091,0.373165179,0.379399389,0.059456125
18,25,5,0,14,22,30,0.111016758,0.339395426,0.383605928,0.059457902
18,25,5,0,14,24,26,0.114944874,0.336130323,0.321103177,0.059116016
18,25,5,0,14,24,28,0.108423352,0.353061235,0.260791052,0.059019022
18,25,5,0,14,24,30,0.124798039,0.355112167,0.304198681,0.058607447
18,25,5,0,16,20,26,0.114678857,0.345174435,0.321414623,0.058053489
18,25,5,0,16,20,28,0.123013701,0.34445326,0.383039266,0.058432302
18,25,5,0,16,20,30,0.107821758,0.33246238,0.308961537,0.059625973
18,25,5,0,16,22,26,0.125767541,0.367142478,0.657347233,0.058825529
18,25,5,0,16,22,28,0.111543711,0.355874499,0.275968062,0.059444447
18,25,5,0,16,22,30,0.108371478,0.349143744,0.349889366,0.059183941
18,25,5,0,16,24,26,0.140571579,0.339945969,0.265683739,0.05853661
18,25,5,0,16,24,28,0.130508919,0.382625338,0.31248815,0.060707476
18,25,5,0,16,24,30,0.127694257,0.337745463,0.251641361,0.058612175
18,25,5,0.1,12,20,26,0.125696266,0.344588865,0.305927659,0.058856534
18,25,5,0.1,12,20,28,0.113134835,0.324678037,0.32652348,0.058890096
18,25,5,0.1,12,20,30,0.115148476,0.327673241,0.403483156,0.058455191
18,25,5,0.1,12,22,26,0.115101304,0.326253932,0.340232808,0.058798864
18,25,5,0.1,12,22,28,0.160901856,0.369763812,0.275340988,0.05884786
18,25,5,0.1,12,22,30,0.110892451,0.345430596,0.307476512,0.058584015
18,25,5,0.1,12,24,26,0.141863877,0.348989301,0.318307184,0.05903322
18,25,5,0.1,12,24,28,0.112610059,0.329419724,0.36405703,0.059012743
