Metros2,CapasCNN,Kernel,lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
49,1,3,24,25,7,0.5,18,,,0.120276451,0.340963158,0.274269481,0.081909689
49,1,3,24,25,7,0.5,20,,,0.122224145,0.317708799,0.376445479,0.055878223
49,1,3,24,25,10,0,12,,,0.123311732,0.323860994,0.343010746,0.062969959
49,1,3,24,25,10,0,16,,,0.118254842,0.347724685,0.326550588,0.061148732
49,1,3,24,25,10,0.1,12,,,0.123311732,0.323860994,0.218026504,0.062602301
49,1,3,24,25,10,0.1,16,,,0.118254842,0.347724685,0.399959703,0.061701499
49,1,3,24,25,12,0,12,,,0.123311732,0.323860994,0.241247489,0.07484661
49,1,3,24,25,12,0,16,,,0.118254842,0.347724685,0.280704177,0.072872176
49,1,3,24,25,12,0.1,12,,,0.123311732,0.323860994,0.217070646,0.075251681
49,1,3,24,25,12,0.1,16,,,0.118254842,0.347724685,0.234946887,0.073382861
49,1,3,24,27,10,0,12,,,0.124645846,0.33456597,0.224756895,0.063281178
49,1,3,24,27,10,0,16,,,0.123403876,0.337361433,0.360187361,0.062470525
49,1,3,24,27,10,0.1,12,,,0.124645846,0.33456597,0.215344331,0.063549478
49,1,3,24,27,10,0.1,16,,,0.123403876,0.337361433,0.23126443,0.063204621
49,1,3,24,27,12,0,12,,,0.124645846,0.33456597,0.247091726,0.075736733
49,1,3,24,27,12,0,16,,,0.123403876,0.337361433,0.429352954,0.074937454
49,1,3,24,27,12,0.1,12,,,0.124645846,0.33456597,0.233353675,0.076636781
49,1,3,24,27,12,0.1,16,,,0.123403876,0.337361433,0.264512293,0.074376246
